region,start time,state,function1 runtime (ms),function2 runtime(ms),function3 runtime(ms),total runtime(msec)
ap-northeast-1,21-12-10 04:14,cold,185428,181272,440795,807495
ap-northeast-1,21-12-10 05:19,cold,184589,183616,415492,783697
ap-northeast-1,21-12-10 06:21,cold,188464,178186,407508,774158
ap-northeast-1,21-12-10 07:23,cold,184354,180192,411863,776409
ap-northeast-1,21-12-10 08:25,cold,181356,180965,388739,751060
ap-northeast-1,21-12-10 09:27,cold,189348,183188,433504,806040
ap-northeast-1,21-12-10 10:30,cold,184363,188833,455457,828653
ap-northeast-1,21-12-10 11:34,cold,185173,185230,421699,792102
ap-northeast-1,21-12-10 12:36,cold,189190,186355,512658,888203
ap-northeast-1,21-12-10 13:42,cold,185599,178342,410327,774268
ap-northeast-1,21-12-10 14:45,cold,158046,182582,497040,837668
ap-northeast-1,21-12-10 15:50,cold,186993,161186,448547,796726
ap-northeast-1,21-12-10 16:53,cold,188889,182829,441819,813537
ap-northeast-1,21-12-10 17:57,cold,183159,162810,457535,803504
ap-northeast-1,21-12-10 19:00,cold,186453,182535,464795,833783
ap-northeast-1,21-12-10 20:04,cold,185268,183927,462986,832181
ap-northeast-1,21-12-10 21:08,cold,189422,184607,495441,869470
ap-northeast-1,21-12-10 22:14,cold,190250,179686,423337,793273
ap-northeast-1,21-12-10 23:17,cold,185592,182265,451376,819233
ap-northeast-1,21-12-11 00:20,cold,184189,181317,406837,772343
ap-northeast-1,21-12-11 01:34,cold,188093,192419,514770,895282
ap-northeast-1,21-12-11 02:40,cold,183489,183602,566924,934015
ap-northeast-1,21-12-11 03:57,cold,186750,181136,463517,831403
ap-northeast-1,21-12-11 05:01,cold,191647,185663,444157,821467
ap-northeast-1,21-12-11 06:04,cold,187794,176344,415851,779989
ap-northeast-1,21-12-10 03:49,warm,180191,181598,424800,786589
ap-northeast-1,21-12-10 04:52,warm,180775,182388,527238,890401
ap-northeast-1,21-12-10 05:56,warm,179446,178927,412130,770503
ap-northeast-1,21-12-10 06:58,warm,180893,177457,419604,777954
ap-northeast-1,21-12-10 08:00,warm,184667,176017,412176,772860
ap-northeast-1,21-12-10 09:02,warm,182007,177291,384968,744266
ap-northeast-1,21-12-10 10:04,warm,184516,181659,425318,791493
ap-northeast-1,21-12-10 11:08,warm,162927,166005,513956,842888
ap-northeast-1,21-12-10 12:11,warm,181639,182999,407211,771849
ap-northeast-1,21-12-10 13:15,warm,186859,183011,514020,883890
ap-northeast-1,21-12-10 14:19,warm,180694,177523,462463,820680
ap-northeast-1,21-12-10 15:23,warm,184182,186641,496602,867425
ap-northeast-1,21-12-10 16:27,warm,187713,180639,473447,841799
ap-northeast-1,21-12-10 17:31,warm,180992,177027,467043,825062
ap-northeast-1,21-12-10 18:34,warm,183582,183529,442767,809878
ap-northeast-1,21-12-10 19:38,warm,191116,177152,479230,847498
ap-northeast-1,21-12-10 20:42,warm,185932,183103,462864,831899
ap-northeast-1,21-12-10 21:47,warm,184175,182931,511651,878757
ap-northeast-1,21-12-10 22:02,warm,189482,180361,424400,794243
ap-northeast-1,21-12-10 23:54,warm,182464,181264,467251,830979
ap-northeast-1,21-12-11 00:57,warm,180753,184511,502202,867466
ap-northeast-1,21-12-11 02:13,warm,187926,179950,502711,870587
ap-northeast-1,21-12-11 03:20,warm,189800,192154,520283,902237
ap-northeast-1,21-12-11 04:35,warm,184524,178520,477892,840936
ap-northeast-1,21-12-11 05:39,warm,183371,181398,433983,798752
ap-northeast-1,21-12-11 06:42,warm,183932,178778,419238,781948
eu-central-1,21-12-10 04:15,cold,162078,173135,375200,710413
eu-central-1,21-12-10 05:15,cold,160129,187169,459288,806586
eu-central-1,21-12-10 06:18,cold,185732,180118,423677,789527
eu-central-1,21-12-10 07:21,cold,181821,186161,495656,863638
eu-central-1,21-12-10 08:26,cold,184314,182120,399219,765653
eu-central-1,21-12-10 09:27,cold,161133,187142,382910,731185
eu-central-1,21-12-10 10:27,cold,208398,177861,558152,944411
eu-central-1,21-12-10 11:35,cold,182167,192755,516233,891155
eu-central-1,21-12-10 12:41,cold,187459,182448,413748,783655
eu-central-1,21-12-10 13:45,cold,186614,180458,388364,755436
eu-central-1,21-12-10 14:47,cold,185293,179447,395484,760224
eu-central-1,21-12-10 15:49,cold,187947,180716,410080,778743
eu-central-1,21-12-10 16:51,cold,184303,184316,378372,746991
eu-central-1,21-12-10 17:52,cold,157863,178712,421854,758429
eu-central-1,21-12-10 18:55,cold,159468,179933,402977,742378
eu-central-1,21-12-10 19:56,cold,182159,182720,416463,781342
eu-central-1,21-12-10 20:58,cold,185376,194758,392560,772694
eu-central-1,21-12-10 22:00,cold,185101,158995,369398,713494
eu-central-1,21-12-10 23:01,cold,179427,183097,399770,762294
eu-central-1,21-12-11 00:03,cold,181486,182715,404057,768258
eu-central-1,21-12-11 01:05,cold,184269,156975,360910,702154
eu-central-1,21-12-11 02:04,cold,184724,178085,421269,784078
eu-central-1,21-12-11 03:06,cold,162345,182046,512120,856511
eu-central-1,21-12-11 04:11,cold,184783,178843,421324,784950
eu-central-1,21-12-11 05:14,cold,186112,181109,424574,791795
eu-central-1,21-12-11 06:17,cold,185411,184924,444590,814925
eu-central-1,21-12-10 03:49,warm,182787,184746,446546,814079
eu-central-1,21-12-10 04:51,warm,160084,158208,370705,688997
eu-central-1,21-12-10 05:52,warm,180589,179731,476858,837178
eu-central-1,21-12-10 06:56,warm,179365,178591,428941,786897
eu-central-1,21-12-10 08:00,warm,188974,187318,514511,890803
eu-central-1,21-12-10 09:03,warm,157897,152798,393525,704220
eu-central-1,21-12-10 10:04,warm,159014,156126,373217,688357
eu-central-1,21-12-10 11:07,warm,207724,184295,571231,963250
eu-central-1,21-12-10 12:14,warm,183171,180291,516722,880184
eu-central-1,21-12-10 13:18,warm,180839,179031,510173,870043
eu-central-1,21-12-10 14:22,warm,181547,178863,422802,783212
eu-central-1,21-12-10 15:24,warm,182053,178277,404608,764938
eu-central-1,21-12-10 16:26,warm,179940,181791,430917,792648
eu-central-1,21-12-10 17:28,warm,175362,174798,380354,730514
eu-central-1,21-12-10 18:29,warm,180716,185818,454311,820845
eu-central-1,21-12-10 19:31,warm,180885,176994,407314,765193
eu-central-1,21-12-10 20:33,warm,180362,180573,414472,775407
eu-central-1,21-12-10 21:35,warm,176984,177409,391576,745969
eu-central-1,21-12-10 22:36,warm,180059,178335,387961,746355
eu-central-1,21-12-10 23:37,warm,189450,176267,420054,785771
eu-central-1,21-12-11 00:40,warm,179126,176737,432110,787973
eu-central-1,21-12-11 01:41,warm,156508,157692,376142,690342
eu-central-1,21-12-11 02:42,warm,157329,155134,421395,733858
eu-central-1,21-12-11 03:44,warm,186238,185757,507166,879161
eu-central-1,21-12-11 04:49,warm,178467,182461,428752,789680
eu-central-1,21-12-11 05:51,warm,181142,174384,443123,798649
eu-central-1,21-12-11 06:54,warm,184987,183678,591962,960627
us-east-2,21-12-10 04:14,cold,180573,177322,389623,747518
us-east-2,21-12-10 05:16,cold,181372,180137,407088,768597
us-east-2,21-12-10 06:17,cold,183293,179444,453055,815792
us-east-2,21-12-10 07:21,cold,180979,179332,404237,764548
us-east-2,21-12-10 08:23,cold,180941,174925,434408,790274
us-east-2,21-12-10 09:26,cold,178450,180583,436089,795122
us-east-2,21-12-10 10:28,cold,180411,179131,550174,909716
us-east-2,21-12-10 11:34,cold,181162,180949,505498,867609
us-east-2,21-12-10 12:39,cold,181876,179320,444209,805405
us-east-2,21-12-10 13:43,cold,181703,178914,452983,813600
us-east-2,21-12-10 14:47,cold,184733,180746,468070,833549
us-east-2,21-12-10 15:51,cold,181489,175592,560411,917492
us-east-2,21-12-10 16:56,cold,179026,176745,442547,798318
us-east-2,21-12-10 17:59,cold,175766,175062,425359,776187
us-east-2,21-12-10 19:02,cold,184075,177847,433216,795138
us-east-2,21-12-10 20:04,cold,178681,176415,426376,781472
us-east-2,21-12-10 21:07,cold,182339,180368,419724,782431
us-east-2,21-12-10 22:09,cold,178221,179569,397594,755384
us-east-2,21-12-10 23:10,cold,179775,177408,408830,766013
us-east-2,21-12-11 00:12,cold,185708,175800,419969,781477
us-east-2,21-12-11 01:26,cold,182468,180006,558909,921383
us-east-2,21-12-11 02:32,cold,181405,178932,405759,766096
us-east-2,21-12-11 03:34,cold,185812,183337,392161,761310
us-east-2,21-12-11 04:35,cold,178870,179839,512861,871570
us-east-2,21-12-11 05:39,cold,181749,178118,414261,774128
us-east-2,21-12-11 06:41,cold,178808,180513,595909,955230
us-east-2,21-12-10 03:49,warm,176442,175258,420811,772511
us-east-2,21-12-10 04:51,warm,176965,178180,417042,772187
us-east-2,21-12-10 05:53,warm,179090,173837,411536,764463
us-east-2,21-12-10 06:55,warm,178146,173225,474390,825761
us-east-2,21-12-10 07:58,warm,182409,176689,408800,767898
us-east-2,21-12-10 09:00,warm,177322,175531,446694,799547
us-east-2,21-12-10 10:03,warm,180796,174723,414916,770435
us-east-2,21-12-10 11:07,warm,181710,178224,535187,895121
us-east-2,21-12-10 12:13,warm,179062,177996,503534,860592
us-east-2,21-12-10 13:17,warm,178319,178726,445667,802712
us-east-2,21-12-10 14:20,warm,180403,175777,544952,901132
us-east-2,21-12-10 15:26,warm,178891,177413,421955,778259
us-east-2,21-12-10 16:30,warm,178858,180892,477172,836922
us-east-2,21-12-10 17:34,warm,181395,177504,455578,814477
us-east-2,21-12-10 18:36,warm,179533,179017,423623,782173
us-east-2,21-12-10 19:39,warm,178376,175327,444871,798574
us-east-2,21-12-10 20:42,warm,181688,175639,417160,774487
us-east-2,21-12-10 21:44,warm,178140,175051,414673,767864
us-east-2,21-12-10 22:46,warm,176149,171972,399302,747423
us-east-2,21-12-10 23:47,warm,178210,176174,418672,773056
us-east-2,21-12-11 00:49,warm,179922,178365,503464,861751
us-east-2,21-12-11 02:05,warm,183160,182034,521040,886234
us-east-2,21-12-11 03:09,warm,175963,175554,404222,755739
us-east-2,21-12-11 04:11,warm,178772,173273,383119,735164
us-east-2,21-12-11 05:14,warm,179646,176710,431838,788194
us-east-2,21-12-11 06:16,warm,181369,174936,420308,776613
